Player,Projection,Pos,Rank,Team,Bye,POS,CBS,Sleeper,RTSports,AVG,pos_rank,Cluster
Travis Kelce,235.60999999999999,TE,5.0,KC,10.0,TE,,4.0,6.0,5.0,1.0,1
Mark Andrews,165.51000000000002,TE,27.0,BAL,13.0,TE,,26.0,30.0,28.0,2.0,2
T.J. Hockenson,159.28,TE,46.0,MIN,13.0,TE,,48.0,45.0,46.5,3.0,2
George Kittle,144.75,TE,52.0,SF,9.0,TE,,44.0,60.0,52.0,5.0,3
Darren Waller,146.31,TE,53.0,NYG,13.0,TE,,56.0,51.0,53.5,4.0,3
Kyle Pitts,131.00000000000003,TE,72.0,ATL,11.0,TE,,64.0,76.0,70.0,7.0,4
Dallas Goedert,131.11,TE,68.0,PHI,10.0,TE,,61.0,74.0,67.5,6.0,4
Pat Freiermuth,118.75,TE,91.0,PIT,6.0,TE,,88.0,93.0,90.5,8.0,5
Evan Engram,118.27999999999999,TE,82.0,JAC,9.0,TE,,79.0,90.0,84.5,9.0,5
David Njoku,109.72,TE,94.0,CLE,5.0,TE,,89.0,101.0,95.0,11.0,5
Chigoziem Okonkwo,103.72,TE,137.0,TEN,7.0,TE,,143.0,145.0,144.0,13.0,6
Dalton Schultz,110.32000000000001,TE,124.0,HOU,7.0,TE,,117.0,133.0,125.0,10.0,5
Greg Dulcich,102.07000000000001,TE,167.0,DEN,9.0,TE,,167.0,166.0,166.5,14.0,6
Cole Kmet,100.82000000000001,TE,134.0,CHI,13.0,TE,,128.0,150.0,139.0,15.0,6
Tyler Higbee,107.02999999999999,TE,140.0,LAR,10.0,TE,,150.0,144.0,147.0,12.0,5
Dalton Kincaid,98.86000000000001,TE,109.0,BUF,13.0,TE,,111.0,116.0,113.5,17.0,6
Juwan Johnson,95.26,TE,159.0,NO,11.0,TE,,192.0,132.0,162.0,18.0,6
Gerald Everett,99.97,TE,183.0,LAC,5.0,TE,,191.0,183.0,187.0,16.0,6
Sam LaPorta,92.47,TE,146.0,DET,9.0,TE,,163.0,143.0,153.0,19.0,6
Hunter Henry,88.76,TE,255.0,NE,11.0,TE,,,221.0,221.0,20.0,7
Irv Smith Jr.,87.04,TE,201.0,CIN,7.0,TE,,224.0,186.0,205.0,22.0,7
Noah Fant,87.35,TE,247.0,SEA,5.0,TE,,245.0,242.0,243.5,21.0,7
Cade Otton,83.93,TE,276.0,TB,5.0,TE,,,257.0,257.0,24.0,7
Hayden Hurst,84.13,TE,260.0,CAR,7.0,TE,,,231.0,231.0,23.0,7
Harrison Butker,125.6,K,153.0,KC,10.0,K,,118.0,200.0,159.0,1.0,1
Tyler Bass,124.8,K,147.0,BUF,13.0,K,,133.0,177.0,155.0,2.0,1
Daniel Carlson,124.7,K,138.0,LV,13.0,K,,131.0,160.0,145.5,3.0,1
Justin Tucker,124.2,K,108.0,BAL,13.0,K,,93.0,129.0,111.0,4.0,1
Evan McPherson,122.0,K,145.0,CIN,7.0,K,,113.0,192.0,152.5,5.0,2
Greg Joseph,120.8,K,266.0,MIN,13.0,K,,,247.0,247.0,6.5,2
Jason Myers,120.8,K,186.0,SEA,5.0,K,,175.0,202.0,188.5,6.5,2
Cameron Dicker,120.1,K,194.0,LAC,5.0,K,,181.0,212.0,196.5,8.0,2
Younghoe Koo,119.0,K,175.0,ATL,11.0,K,,137.0,222.0,179.5,9.0,3
Jake Elliott,118.5,K,184.0,PHI,10.0,K,,141.0,234.0,187.5,10.0,3
Brandon McManus,117.7,K,188.0,JAC,9.0,K,,159.0,225.0,192.0,11.0,3
Greg Zuerlein,117.5,K,224.0,NYJ,7.0,K,,205.0,238.0,221.5,12.0,3
Dallas Cowboys,114.5,DST,128.0,DST,7.0,DST,,109.0,147.0,128.0,1.0,1
Philadelphia Eagles,114.2,DST,119.0,DST,10.0,DST,,106.0,134.0,120.0,2.0,1
New England Patriots,110.4,DST,143.0,DST,11.0,DST,,130.0,173.0,151.5,3.0,2
Pittsburgh Steelers,108.5,DST,178.0,DST,6.0,DST,,140.0,224.0,182.0,4.0,2
San Francisco 49ers,108.2,DST,103.0,DST,9.0,DST,,92.0,124.0,108.0,5.0,2
Cleveland Browns,107.3,DST,249.0,DST,5.0,DST,,233.0,260.0,246.5,6.0,3
New Orleans Saints,106.6,DST,179.0,DST,11.0,DST,,148.0,216.0,182.0,7.0,3
Miami Dolphins,106.5,DST,191.0,DST,10.0,DST,,147.0,239.0,193.0,8.0,3
Washington Commanders,105.2,DST,187.0,DST,14.0,DST,,154.0,228.0,191.0,9.0,3
Buffalo Bills,105.1,DST,135.0,DST,13.0,DST,,112.0,174.0,143.0,10.0,3
Kansas City Chiefs,104.7,DST,212.0,DST,10.0,DST,,207.0,219.0,213.0,11.0,3
Green Bay Packers,104.6,DST,222.0,DST,6.0,DST,,180.0,263.0,221.5,12.0,3
