Player,Team,POS,FPTS,VORP,VORP_FLEX,VORP_SFLEX,Player First Name,Player Last Name,Player Team,ADP
Xavier Gipson,NYJ,WR,32.0,-111.8,-79.3,-98.7,,,,300.0
Brandon Powell,MIN,WR,36.1,-107.7,-75.2,-94.6,,,,300.0
Jauan Jennings,SF,WR,33.0,-110.8,-78.3,-97.7,Jauan,Jennings,SF,300.0
Derius Davis,LAC,WR,24.6,-119.2,-86.7,-106.1,,,,300.0
Marquez Valdes-Scantling,BUF,WR,30.8,-113.0,-80.5,-99.9,Marquez,Valdes-Scantling,BUF,300.0
Parris Campbell,PHI,WR,25.400000000000002,-118.4,-85.9,-105.3,,,,300.0
Cedric Tillman,CLE,WR,27.5,-116.3,-83.8,-103.2,Cedric,Tillman,CLE,300.0
Ryan Flournoy,DAL,WR,24.8,-119.0,-86.5,-105.9,Ryan,Flournoy,DAL,300.0
Jason Brownlee,NYJ,WR,23.5,-120.3,-87.8,-107.2,,,,300.0
Malik Washington,MIA,WR,18.6,-125.2,-92.7,-112.1,Malik,Washington,MIA,277.2
Bo Melton,GB,WR,17.2,-126.6,-94.1,-113.5,Bo,Melton,GB,300.0
Trent Sherfield Sr,MIN,WR,17.1,-126.7,-94.2,-113.6,,,,300.0
Devin Duvernay,JAX,WR,17.900000000000002,-125.9,-93.4,-112.8,,,,300.0
Tyler Johnson,LAR,WR,17.5,-126.3,-93.8,-113.2,,,,300.0
Skyy Moore,KC,WR,15.100000000000001,-128.7,-96.2,-115.6,Skyy,Moore,KC,300.0
Allen Robinson II,NYG,WR,19.9,-123.9,-91.4,-110.8,,,,300.0
Dyami Brown,WAS,WR,16.6,-127.2,-94.7,-114.1,,,,300.0
Ainias Smith,PHI,WR,16.0,-127.8,-95.3,-114.7,Ainias,Smith,PHI,300.0
JuJu Smith-Schuster,NE,WR,20.1,-123.7,-91.2,-110.6,JuJu,Smith-Schuster,NE,300.0
Ray-Ray McCloud III,ATL,WR,17.0,-126.8,-94.3,-113.7,,,,300.0
David Moore,CAR,WR,17.200000000000003,-126.6,-94.1,-113.5,,,,300.0
Javon Baker,NE,WR,16.5,-127.3,-94.8,-114.2,Javon,Baker,NE,199.3
Kadarius Toney,KC,WR,12.0,-131.8,-99.3,-118.7,Kadarius,Toney,KC,297.3
KJ Osborn,NE,WR,15.600000000000001,-128.2,-95.7,-115.1,K.J.,Osborn,NE,279.3
Donovan Peoples-Jones,DET,WR,14.5,-129.3,-96.8,-116.2,,,,300.0
Laviska Shenault Jr,SEA,WR,13.4,-130.4,-97.9,-117.3,,,,300.0
Jordan Whittington,LAR,WR,12.0,-131.8,-99.3,-118.7,,,,300.0
Mack Hollins,BUF,WR,10.9,-132.9,-100.4,-119.8,,,,300.0
Tyler Scott,CHI,WR,9.9,-133.9,-101.4,-120.8,,,,300.0
Johnny Wilson,PHI,WR,10.5,-133.3,-100.8,-120.2,Johnny,Wilson,PHI,300.0
Isaiah McKenzie,NYG,WR,9.1,-134.7,-102.2,-121.6,,,,300.0
Quez Watkins,PIT,WR,10.600000000000001,-133.2,-100.7,-120.1,,,,300.0
Jalen Nailor,MIN,WR,10.3,-133.5,-101.0,-120.4,,,,300.0
Anthony Gould,IND,WR,10.0,-133.8,-101.3,-120.7,,,,300.0
Ihmir Smith-Marsette,CAR,WR,8.0,-135.8,-103.3,-122.7,,,,300.0
David Bell,CLE,WR,10.0,-133.8,-101.3,-120.7,,,,300.0
John Metchie,HOU,WR,8.100000000000001,-135.7,-103.2,-122.6,John,Metchie,HOU,300.0
Rakim Jarrett,TB,WR,8.5,-135.3,-102.8,-122.2,,,,300.0
Nick Westbrook-Ikhine,TEN,WR,8.600000000000001,-135.2,-102.7,-122.1,,,,300.0
